timestep_reward_type: sum_of_rewards
timestep_factor: 1
episode_reward_type: sum_of_rewards
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 1500
num_timesteps: 15
model_reload: no

episode	episode_reward	reward_last_timestep	gamma_global_last_timestep	loss	actor_loss	critic_loss	entropy
0	0.898846987071934	0.8389239	0.8333803828312746	12.428716	-5.2780113	17.70723	-0.00050264783
1	0.8893706604246215	0.83007926	0.8210871636673286	2.4493458	-3.290158	5.7400064	-0.00050264783
2	0.8888722281859842	0.8296141	0.8268625667768983	4.6817303	-4.630451	9.312684	-0.00050264783
3	0.8913444144795425	0.83192146	0.8232889046403744	13.5588045	-5.7064033	19.26571	-0.00050264783
4	0.8853869380618908	0.8263611	0.8044284046975038	5.0871863	-4.1374364	9.225125	-0.00050264783
5	0.887278106082978	0.82812625	0.8012549040494115	2.985501	-3.9163244	6.902328	-0.00050264783
6	0.8636007831053467	0.8060274	0.7620831284701062	7.1311264	-5.196727	12.328356	-0.00050264783
7	0.8712340084864387	0.8131517	0.7975791283254746	7.8042746	-4.7344065	12.539184	-0.00050264783
8	0.8782872356133832	0.81973475	0.7936961486728016	2.029457	-4.3463416	6.3763013	-0.00050264783
9	0.8560740361253404	0.7990024	0.7617835233690902	10.583882	-6.0331454	16.61753	-0.00050264783
10	0.8777953965230963	0.8192757	0.7880112525007282	4.312382	-4.157499	8.470384	-0.00050264783
11	0.8874540546258967	0.82829046	0.7942523643875363	6.9007792	-4.799707	11.700989	-0.00050264783
12	0.880406878016111	0.8217131	0.798920261871987	7.2367873	-5.0874076	12.3246975	-0.00050264783
13	0.8793149945319884	0.82069397	0.7959549726955174	7.5561743	-4.921462	12.478139	-0.00050264783
14	0.8680479751062465	0.8101781	0.7611547045786508	11.714568	-6.9030457	18.618116	-0.00050264783
15	0.8762800236155334	0.8178614	0.7793648655806374	4.938976	-4.4564633	9.395942	-0.00050264783
16	0.8588341653810883	0.8015786	0.7602454423112229	1.6762477	-3.0456765	4.722427	-0.00050264783
17	0.8756137968010205	0.8172395	0.7722497356733463	2.8456979	-3.8150482	6.6612487	-0.00050264783
18	0.8607779519077746	0.80339277	0.7668676868098712	3.4140387	-4.455637	7.870178	-0.00050264783
