t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.005	0.021	59.41647243061832	2.004461577647101	0.8913206185567011	0.9958	0.9952	0.907	0.9922	0.99	0.8372	0.8034	0.8272
0.005	0.023	59.97840873195775	2.1912717127046117	0.8838979381443299	0.9904	0.9904	0.9322	0.9894	0.9884	0.818	0.7886	0.812
0.005	0.025	59.95770907912046	2.3945930605877286	0.8798164948453608	0.9808	0.9846	0.9242	0.9904	0.9844	0.8286	0.7764	0.804
0.007	0.001	59.682395158100135	0.3335149764211536	0.7310443298969072	1.0	0.9956	0.8696	0.9596	0.9182	0.5822	0.4496	0.7082
0.007	0.003	59.746895471457265	0.38232334351390235	0.7736670103092783	1.0	0.9962	0.9686	0.9792	0.9596	0.6236	0.527	0.7048
0.007	0.005	59.77804652418202	0.4617988969890534	0.8306195876288659	0.9994	0.9964	0.9438	0.9868	0.9766	0.7242	0.652	0.779
0.007	0.007	59.874989833847145	0.5827801954582891	0.8667556701030927	0.9992	0.998	0.975	0.9896	0.981	0.7672	0.7432	0.797
0.007	0.009000000000000001	59.764054183018395	0.6888750831364308	0.8877134020618556	0.999	0.9966	0.9732	0.9926	0.985	0.7952	0.7948	0.8236
0.007	0.011	59.66577607957187	0.7961298269418375	0.9063247422680412	0.9964	0.9962	0.9722	0.9922	0.9928	0.8394	0.8338	0.828
0.007	0.013000000000000001	59.80535507952041	0.9556103846435683	0.9068319587628866	0.9984	0.9966	0.943	0.9932	0.9926	0.842	0.8386	0.8432
0.007	0.015	59.5550134314447	1.1221744992739577	0.905981443298969	0.9768	0.9964	0.9584	0.9936	0.9924	0.8522	0.828	0.8372
0.007	0.017	59.662865241756975	1.2412861016205519	0.9006381443298969	0.996	0.996	0.9636	0.9928	0.9904	0.8378	0.8174	0.8252
0.007	0.019000000000000003	60.099832291718634	1.6506184043754129	0.9011319587628867	0.9956	0.9912	0.9686	0.9928	0.9946	0.8562	0.8074	0.8166
0.007	0.021	60.0393236651903	1.5503932146102342	0.8949030927835052	0.9946	0.9892	0.9674	0.9896	0.9936	0.8454	0.7952	0.8124
0.007	0.023	59.743710055318914	1.6890705666960282	0.881422680412371	0.9758	0.9944	0.963	0.99	0.9908	0.8328	0.7622	0.7938
0.007	0.025	59.90236663829865	1.823814104903848	0.8761762886597937	0.9904	0.986	0.9504	0.9884	0.9854	0.817	0.7636	0.789
0.009000000000000001	0.001	59.66231449821119	0.33341189601745347	0.7110546391752577	0.9998	0.994	0.9414	0.9602	0.8878	0.5382	0.4218	0.6228
0.009000000000000001	0.003	59.51767248036293	0.3689827360625396	0.7507144329896906	1.0	0.9962	0.9558	0.978	0.938	0.582	0.4866	0.6884
0.009000000000000001	0.005	59.86354487311891	0.4339203706776404	0.8113123711340205	1.0	0.9958	0.9586	0.9822	0.9706	0.6864	0.6122	0.7508
0.009000000000000001	0.007	59.65005532753814	0.5215752528522235	0.8391752577319588	0.9998	0.9976	0.94	0.9862	0.9784	0.722	0.6896	0.7788
0.009000000000000001	0.009000000000000001	59.928797497927505	0.6057703409874868	0.8544340206185568	0.9886	0.9964	0.9348	0.9906	0.9774	0.7454	0.7326	0.7916
0.009000000000000001	0.011	59.71491275072937	0.6855685430142975	0.8699896907216494	0.9962	0.997	0.8854	0.99	0.9854	0.7794	0.7764	0.8148
0.009000000000000001	0.013000000000000001	59.76136237114697	0.7969395178628585	0.8880216494845361	0.9976	0.9948	0.9624	0.9924	0.9864	0.8154	0.7954	0.802
0.009000000000000001	0.015	59.75281713917307	0.9144708474888095	0.8827721649484536	0.9972	0.9944	0.9416	0.9928	0.9904	0.8104	0.7898	0.7908
0.009000000000000001	0.017	59.45046289846217	1.0062039495676494	0.8838113402061853	0.995	0.9968	0.9734	0.9932	0.9894	0.8162	0.781	0.7792
0.009000000000000001	0.019000000000000003	59.84135647332533	1.1139900013360742	0.8914134020618556	0.9974	0.9936	0.9632	0.9934	0.9918	0.8432	0.7864	0.8002
0.009000000000000001	0.021	59.817693609252906	1.2338565612040815	0.8806319587628866	0.9962	0.9942	0.9668	0.9908	0.9858	0.8278	0.7644	0.781
0.009000000000000001	0.023	59.97759610801672	1.365090311805247	0.8720608247422679	0.9906	0.9922	0.9572	0.9874	0.9856	0.8102	0.7574	0.7648
0.009000000000000001	0.025	59.73115726174908	1.466777594400833	0.8651072164948455	0.993	0.9914	0.9626	0.9868	0.9814	0.8142	0.732	0.7496
0.011	0.001	59.3789949854121	0.33170639264552376	0.7097505154639174	0.9998	0.9948	0.9278	0.9586	0.891	0.539	0.4136	0.6384
0.011	0.003	59.74430365038857	0.37090761573101855	0.770640206185567	0.9992	0.9962	0.9444	0.973	0.9494	0.6452	0.518	0.699
0.011	0.005	59.62578140907267	0.4148554837988326	0.7956958762886597	1.0	0.9944	0.938	0.9768	0.963	0.6818	0.5868	0.7046
0.011	0.007	59.976791420471486	0.48738658194597245	0.8081185567010308	0.9998	0.997	0.9674	0.9826	0.9622	0.6406	0.6374	0.7416
0.011	0.009000000000000001	59.69241644292437	0.5505533860637386	0.8316855670103092	0.999	0.9952	0.9694	0.9862	0.9712	0.6802	0.6988	0.7422
0.011	0.011	59.65610396780756	0.6155573733994351	0.8638257731958763	0.9982	0.9974	0.947	0.9926	0.9836	0.7586	0.7468	0.799
0.011	0.013000000000000001	59.691111802793294	0.7007609139120828	0.8690164948453607	0.9976	0.995	0.9358	0.9926	0.9882	0.7878	0.7508	0.7968
0.011	0.015	59.71374936682922	0.7917352121229582	0.8710896907216494	0.9954	0.9936	0.9404	0.9924	0.9868	0.8048	0.748	0.7926
0.011	0.017	59.69440673220491	0.86994429434514	0.8714999999999999	0.9962	0.9934	0.965	0.992	0.9848	0.813	0.7438	0.7704
0.011	0.019000000000000003	59.88140669400799	1.0739553853925219	0.8748721649484537	0.985	0.995	0.9612	0.9922	0.987	0.8196	0.7622	0.7542
0.011	0.021	60.31469473191868	1.0600747913689672	0.8789484536082474	0.9878	0.9948	0.9654	0.9892	0.987	0.8324	0.7598	0.773
0.011	0.023	59.92084427370024	1.1460325589900122	0.8620298969072163	0.9802	0.9932	0.9538	0.9852	0.9836	0.803	0.731	0.7548
0.011	0.025	59.94859405859087	1.2380983069673637	0.8634546391752577	0.9922	0.9928	0.951	0.9842	0.981	0.8084	0.7338	0.7532
0.013000000000000001	0.001	59.527012875665875	0.3362021071999797	0.7063484536082474	1.0	0.9966	0.9014	0.9618	0.8822	0.5514	0.4068	0.6296
0.013000000000000001	0.003	59.98383679272522	0.3647805287101491	0.7465371134020619	0.9948	0.9958	0.913	0.9706	0.9374	0.6062	0.4814	0.6712
0.013000000000000001	0.005	59.73299201055147	0.40494167313892004	0.7680164948453607	0.9988	0.9942	0.957	0.9786	0.9508	0.6136	0.5338	0.677
0.013000000000000001	0.007	59.60472782401547	0.46020958795660716	0.802420618556701	0.994	0.9954	0.8896	0.982	0.9664	0.672	0.626	0.7356
0.013000000000000001	0.009000000000000001	59.74206735193659	0.5141899057150704	0.8221793814432988	0.9938	0.9962	0.961	0.9832	0.9658	0.6648	0.6774	0.7462
0.013000000000000001	0.011	59.73240635062036	0.5689995819068638	0.8400020618556702	0.9992	0.9952	0.9522	0.989	0.9726	0.7116	0.7042	0.7654
0.013000000000000001	0.013000000000000001	59.6750323560048	0.6347964720546635	0.8480144329896907	0.9974	0.9948	0.972	0.9906	0.975	0.734	0.7134	0.759
0.013000000000000001	0.015	59.73764554300167	0.7112908640528066	0.8634103092783504	0.9976	0.9954	0.971	0.9894	0.983	0.7754	0.7372	0.7708
0.013000000000000001	0.017	59.803528267068316	0.7792898138610905	0.8652329896907216	0.995	0.995	0.8916	0.9914	0.9876	0.8132	0.7464	0.7732
0.013000000000000001	0.019000000000000003	59.699918915341236	0.9332836013490501	0.8733123711340207	0.9938	0.9932	0.967	0.9876	0.985	0.8152	0.7438	0.7868
0.013000000000000001	0.021	60.21808472118134	0.929913917719356	0.8664226804123709	0.99	0.9942	0.9618	0.99	0.9846	0.8068	0.739	0.7522
0.013000000000000001	0.023	60.142075957489894	0.9993851424762714	0.8651072164948452	0.9932	0.991	0.9428	0.9906	0.9808	0.8256	0.7276	0.756
0.013000000000000001	0.025	59.918527030576385	1.07187141314886	0.8546123711340204	0.9916	0.9892	0.8902	0.9822	0.9738	0.8136	0.727	0.7482
0.015	0.001	59.57267368136357	0.33859066177648534	0.7128453608247421	0.9996	0.9936	0.9482	0.959	0.8904	0.5352	0.4258	0.6282
