timestep_reward_type: delta_gamma
timestep_factor: 1
episode_reward_type: gamma_global
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 20
num_timesteps: 15
model_reload: no

episode	timestep	dt_p	dt_off	t_p	t_off	reward	gamma_global	delta_gamma	sum_of_gamma	sum_of_gamma_norm	gamma_local	critic_value	mu
0	0	-0.19662176	0.16282326	14.803378	15.162824	0.004447422680412427	0.7761505154639176	0.004447422680412427	0.7761505154639176	0.7761505154639176	[0.9924 0.9958 0.9936 0.9772 0.8406 0.5716 0.4922 0.9902]	0.06017895	[ 0.09440018 -0.31405234]
0	1	0.371007	0.06995067	15.174385	15.232775	-0.005624742268041327	0.7705257731958762	-0.005624742268041327	1.5466762886597938	0.7733381443298969	[0.9946 0.9904 0.9918 0.973  0.8218 0.5644 0.4884 0.9868]	0.061764523	[ 0.09369799 -0.31585485]
0	2	-0.21246278	-0.14942814	14.961923	15.083346	0.006521649484536041	0.7770474226804123	0.006521649484536041	2.323723711340206	0.7745745704467354	[0.9948 0.9944 0.9936 0.968  0.846  0.575  0.495  0.9902]	0.06062919	[ 0.09250859 -0.3143693 ]
0	3	-0.10853089	-0.13243583	14.853392	14.950911	0.00046082474226816217	0.7775082474226804	0.00046082474226816217	3.1012319587628863	0.7753079896907216	[0.9952 0.9958 0.9918 0.9838 0.8454 0.5746 0.4902 0.9916]	0.060670033	[ 0.09370688 -0.31705144]
0	4	-0.07210998	-0.63533294	14.781281	14.3155775	-0.0014010309278351674	0.7761072164948453	-0.0014010309278351674	3.8773391752577315	0.7754678350515463	[0.9944 0.9962 0.9934 0.9762 0.8486 0.5826 0.481  0.9882]	0.06259821	[ 0.09368013 -0.3155117 ]
0	5	0.28829065	-0.0023585856	15.069572	14.313219	0.0028103092783506867	0.778917525773196	0.0028103092783506867	4.6562567010309275	0.7760427835051545	[0.9942 0.9958 0.9954 0.9764 0.845  0.5774 0.4948 0.994 ]	0.06207779	[ 0.09222949 -0.31719154]
0	6	-0.19655433	-0.10971472	14.873018	14.203505	-0.004535051546391888	0.7743824742268041	-0.004535051546391888	5.430639175257731	0.7758055964653902	[0.9926 0.996  0.9924 0.9708 0.8318 0.5808 0.4856 0.9882]	0.06187293	[ 0.09367109 -0.3168596 ]
0	7	-0.35833657	-0.12774509	14.514682	14.07576	-0.013928865979381366	0.7604536082474227	-0.013928865979381366	6.1910927835051535	0.7738865979381442	[0.9918 0.9952 0.9958 0.9708 0.8088 0.5524 0.4588 0.988 ]	0.061798066	[ 0.0909209  -0.31761417]
0	8	0.28740877	-0.13209999	14.802091	13.94366	0.0014154639175255612	0.7618690721649483	0.0014154639175255612	6.952961855670102	0.772551317296678	[0.995  0.995  0.993  0.9644 0.8088 0.5608 0.4626 0.9856]	0.061734438	[ 0.08989826 -0.31414565]
0	9	0.28068966	-0.42167807	15.08278	13.521982	-0.002327835051546212	0.759541237113402	-0.002327835051546212	7.712503092783504	0.7712503092783505	[0.9956 0.9954 0.9916 0.96   0.824  0.5542 0.455  0.9828]	0.061151624	[ 0.08879092 -0.31558272]
0	10	0.5768866	-0.27208865	15.659666	13.249893	-0.008427835051546428	0.7511134020618556	-0.008427835051546428	8.46361649484536	0.7694196813495782	[0.9962 0.995  0.9894 0.9666 0.806  0.5518 0.4252 0.9888]	0.060510233	[ 0.08973365 -0.31501737]
0	11	0.10578326	0.17614841	15.76545	13.426042	0.002727835051546279	0.7538412371134019	0.002727835051546279	9.217457731958762	0.7681214776632301	[0.9956 0.9946 0.9878 0.9614 0.8034 0.5428 0.4506 0.9822]	0.063267484	[ 0.08546313 -0.31441376]
0	12	-0.07230401	-0.7227233	15.693146	12.703319	0.0033144329896908076	0.7571556701030927	0.0033144329896908076	9.974613402061854	0.767277954004758	[0.9914 0.9954 0.992  0.9676 0.8086 0.554  0.4464 0.9894]	0.06096211	[ 0.08844082 -0.31346413]
