timestep_reward_type: delta_gamma
timestep_factor: 1
episode_reward_type: gamma_global
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 20
num_timesteps: 15
model_reload: C:\Users\Kalibrier-Windkanal\Documents\AFC_ReinforcementLearning\save_dir\data\measurements_alex\delta_gamma_std0.4\model_2024-11-19_1345.pth

episode	timestep	dt_p	dt_off	t_p	t_off	reward	gamma_global	delta_gamma	sum_of_gamma	sum_of_gamma_norm	gamma_local	critic_value	mu
0	0	-1.1353667	0.34509742	13.864634	15.345098	0.0072402061855668665	0.6263896907216493	0.0072402061855668665	0.6263896907216493	0.6263896907216493	[0.9934 0.9876 0.9816 0.9552 0.8404 0.6046 0.0152 0.6576]	0.16989958	[-0.84434474 -0.1317782 ]
0	1	-0.5694561	0.24533522	13.295177	15.590433	-0.0014309278350513877	0.6249587628865979	-0.0014309278350513877	1.251348453608247	0.6256742268041235	[0.9952 0.9884 0.9868 0.9536 0.8246 0.6006 0.0204 0.6496]	0.17001882	[-0.8467651 -0.1404703]
0	2	-1.1514266	0.026723549	12.143751	15.617157	0.010755670103092752	0.6357144329896907	0.010755670103092752	1.8870628865979377	0.6290209621993126	[0.9864 0.9892 0.983  0.9614 0.8544 0.6298 0.021  0.6688]	0.16830948	[-0.84645516 -0.1382176 ]
0	3	-1.050853	0.03834337	11.092898	15.6555	-0.002085567010309153	0.6336288659793815	-0.002085567010309153	2.5206917525773194	0.6301729381443298	[0.994  0.9916 0.9868 0.959  0.8392 0.6122 0.0258 0.6762]	0.16828157	[-0.8486153  -0.14627224]
0	4	-1.0151266	-0.46370065	10.077772	15.1918	0.016778350515463725	0.6504072164948452	0.016778350515463725	3.1710989690721645	0.6342197938144329	[0.995  0.9906 0.9844 0.9664 0.8592 0.649  0.04   0.713 ]	0.16939181	[-0.84933645 -0.14387941]
0	5	-0.657717	0.16064313	9.420055	15.352444	-6.082474226798418e-05	0.6503463917525772	-6.082474226798418e-05	3.821445360824742	0.636907560137457	[0.9838 0.9928 0.9888 0.9708 0.8662 0.6446 0.034  0.7216]	0.16785312	[-0.8537782  -0.15418983]
0	6	-1.1441556	0.052099332	8.2759	15.404543	0.008190721649484423	0.6585371134020617	0.008190721649484423	4.479982474226803	0.6399974963181148	[0.995  0.9902 0.9876 0.9714 0.8686 0.664  0.0476 0.729 ]	0.16972789	[-0.8539302  -0.15504555]
0	7	-1.3050424	0.03205125	6.9708576	15.436594	0.006823711340206318	0.665360824742268	0.006823711340206318	5.145343298969071	0.6431679123711339	[0.9672 0.9944 0.9898 0.9736 0.8772 0.6906 0.0396 0.7612]	0.16658065	[-0.8557849  -0.15781783]
0	8	-0.66048884	0.015432417	6.3103685	15.452026	0.009569072164948511	0.6749298969072165	0.009569072164948511	5.820273195876288	0.646697021764032	[0.9924 0.9898 0.99   0.9696 0.8842 0.7062 0.053  0.7822]	0.16899431	[-0.8579994  -0.16661325]
0	9	-0.66931635	-0.27582645	5.6410522	15.1762	0.008254639175257594	0.6831845360824741	0.008254639175257594	6.503457731958762	0.6503457731958762	[0.9938 0.9902 0.9886 0.9792 0.9044 0.726  0.043  0.8188]	0.16696411	[-0.86121505 -0.16973111]
0	10	-0.37757114	-0.1328671	5.263481	15.043333	0.006344329896907253	0.6895288659793813	0.006344329896907253	7.192986597938144	0.6539078725398313	[0.996  0.9938 0.9896 0.9848 0.9148 0.7398 0.0484 0.821 ]	0.1712789	[-0.8647241  -0.17579584]
0	11	-0.845633	0.3124249	4.417848	15.355758	0.0030896907216494407	0.6926185567010308	0.0030896907216494407	7.885605154639174	0.6571337628865979	[0.9932 0.9896 0.9906 0.978  0.9142 0.7566 0.0508 0.8268]	0.17006806	[-0.8659531  -0.17813727]
0	12	-1.0271779	-0.59056765	3.3906703	14.76519	-0.0011175257731957933	0.691501030927835	-0.0011175257731957933	8.57710618556701	0.6597773988897699	[0.9918 0.9956 0.994  0.9844 0.917  0.7394 0.037  0.8598]	0.16735	[-0.86643314 -0.1813085 ]
0	13	-0.778313	-0.32601005	2.6123574	14.43918	0.00710618556701037	0.6986072164948454	0.00710618556701037	9.275713402061855	0.6625509572901326	[0.9904 0.9944 0.9956 0.9888 0.917  0.7566 0.0406 0.884 ]	0.17458498	[-0.8685663  -0.18188915]
0	14	-0.9887995	-0.7054478	1.6235578	13.733732	-0.017367010309278452	0.6812402061855669	-0.017367010309278452	9.956953608247423	0.6637969072164949	[0.9928 0.9944 0.9946 0.9768 0.8908 0.708  0.0434 0.8368]	0.17402063	[-0.87084204 -0.18595898]
1	0	-0.6872478	0.35756043	14.312752	15.35756	0.01096804123711348	0.633939175257732	0.01096804123711348	0.633939175257732	0.633939175257732	[0.9944 0.9896 0.9888 0.9634 0.8296 0.5896 0.0618 0.642 ]	0.19442038	[-0.8451259   0.01796109]
1	1	-1.0871131	0.21453731	13.225638	15.572098	0.0065567010309276474	0.6404958762886597	0.0065567010309276474	1.2744350515463916	0.6372175257731958	[0.9916 0.9908 0.986  0.9712 0.8472 0.6032 0.0556 0.6718]	0.19275461	[-0.84842044  0.01239043]
1	2	-0.13684136	0.7722415	13.088797	16.34434	-0.00058350515463923	0.6399123711340204	-0.00058350515463923	1.914347422680412	0.6381158075601373	[0.9892 0.991  0.9856 0.9612 0.8496 0.6016 0.0578 0.6728]	0.19646312	[-0.8511699  0.0077919]
1	3	-0.52614045	0.19622459	12.562656	16.540564	5.463917525783124e-05	0.6399670103092783	5.463917525783124e-05	2.55431443298969	0.6385786082474225	[0.988  0.9902 0.986  0.9614 0.8308 0.6088 0.068  0.6568]	0.19513626	[-0.85078907  0.00621143]
1	4	-0.8467124	-0.49258342	11.715944	16.04798	0.0032556701030929114	0.6432226804123712	0.0032556701030929114	3.197537113402061	0.6395074226804123	[0.9936 0.991  0.9836 0.9638 0.848  0.617  0.0546 0.683 ]	0.19142847	[-0.8500118   0.00701769]
1	5	-1.1857984	-0.048833802	10.530146	15.9991455	-0.006130927835051758	0.6370917525773194	-0.006130927835051758	3.8346288659793806	0.6391048109965635	[0.9916 0.9866 0.9812 0.9506 0.8386 0.6266 0.0498 0.6496]	0.19648825	[-0.8525352   0.00394986]
1	6	-1.2256575	-0.05103638	9.304488	15.948109	0.008220618556701198	0.6453123711340206	0.008220618556701198	4.479941237113401	0.6399916053019145	[0.9886 0.988  0.9824 0.9642 0.8516 0.634  0.0392 0.7102]	0.19302739	[-0.8495215   0.00466029]
1	7	-0.17815763	-0.23033997	9.12633	15.717769	0.014101030927834879	0.6594134020618555	0.014101030927834879	5.139354639175257	0.6424193298969071	[0.9928 0.9942 0.9874 0.9758 0.8718 0.668  0.041  0.7352]	0.2006054	[-8.5459077e-01 -1.8518977e-04]
1	8	-0.63379717	-0.07853489	8.492533	15.639234	-0.00045051546391738917	0.6589628865979381	-0.00045051546391738917	5.798317525773195	0.6442575028636883	[0.9926 0.9892 0.9864 0.9674 0.8734 0.6638 0.0516 0.7268]	0.20132731	[-0.8589657  -0.00552951]
1	9	-0.5054611	0.33650404	7.9870715	15.975738	0.010453608247422475	0.6694164948453606	0.010453608247422475	6.467734020618555	0.6467734020618555	[0.9942 0.9926 0.9942 0.976  0.8804 0.6918 0.0486 0.7558]	0.19705504	[-0.85757786 -0.00565049]
1	10	-0.43358478	0.56810725	7.553487	16.543844	-0.0035474226804121933	0.6658690721649484	-0.0035474226804121933	7.1336030927835035	0.6485093720712276	[0.9892 0.9902 0.9864 0.9812 0.8816 0.683  0.0432 0.7562]	0.19849537	[-0.8616205  -0.01003558]
1	11	-0.6197301	0.13240166	6.933757	16.676247	0.0033639175257732523	0.6692329896907216	0.0033639175257732523	7.802836082474225	0.6502363402061854	[0.9926 0.9896 0.9914 0.9782 0.884  0.687  0.0406 0.781 ]	0.20077549	[-0.8606088 -0.009065 ]
