t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.003	0.006	59.803283845246725	0.7797002307109808	0.9195711340206185	0.9838	0.9976	0.9616	0.993	0.9946	0.908	0.8584	0.79
0.003	0.007	59.81418599943428	1.0009633547344259	0.942022680412371	0.971	0.997	0.9806	0.9954	0.997	0.9456	0.9128	0.7952
0.003	0.008	59.835264979346206	1.1283332920605518	0.9539907216494845	0.999	0.9974	0.9782	0.9964	0.997	0.9452	0.9366	0.8408
0.003	0.009000000000000001	59.65478028201309	1.2229611727599206	0.9535515463917525	0.9994	0.995	0.9684	0.9954	0.9978	0.9416	0.9506	0.8232
0.003	0.01	60.03947920566006	1.3567908109667426	0.9569298969072164	0.999	0.996	0.9762	0.9944	0.9976	0.9478	0.9562	0.8242
0.003	0.011	60.02821200935523	1.9433491390578064	0.9657649484536082	0.9994	0.9964	0.9804	0.9944	0.9972	0.9584	0.9766	0.8378
0.003	0.012	60.44009729112487	1.7894174146537873	0.9545948453608246	0.9984	0.9968	0.947	0.9958	0.9984	0.935	0.9638	0.8328
0.003	0.013000000000000001	59.47647634329515	1.9263657740300988	0.9485412371134022	0.9908	0.9898	0.9758	0.9956	0.9966	0.9214	0.9468	0.823
0.003	0.013999999999999999	59.94292317239671	2.6358123844038253	0.9436278350515462	0.9968	0.9966	0.9798	0.9942	0.9968	0.9212	0.9424	0.7758
0.003	0.015	59.75408051429806	2.312162403875916	0.9422443298969071	0.9972	0.9956	0.9696	0.9952	0.9948	0.9218	0.9198	0.824
0.003	0.016	60.211437723499245	2.391625495707821	0.9319288659793813	0.9988	0.996	0.9604	0.9948	0.996	0.9122	0.9014	0.7932
0.003	0.017	59.749398412027624	2.4437644840387316	0.9286556701030927	0.998	0.9958	0.9284	0.9924	0.9962	0.9076	0.898	0.8116
0.003	0.018	60.015876653079225	3.1250796346146994	0.9242474226804124	0.998	0.9906	0.9328	0.9934	0.9972	0.9002	0.8922	0.7954
0.003	0.019	59.88469369076737	2.683649510701844	0.918261855670103	0.9954	0.9964	0.9554	0.9928	0.9962	0.881	0.8768	0.7832
0.004	0.003	59.63735175480004	0.4009001655377134	0.7885587628865978	0.9958	0.9952	0.9436	0.9804	0.9696	0.688	0.555	0.6854
