timestep_reward_type: delta_gamma
timestep_factor: 1
episode_reward_type: sum_of_rewards
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 1500
num_timesteps: 15
model_reload: no

episode	timestep	dt_p	dt_off	t_p	t_off	reward	gamma_global	delta_gamma	sum_of_rewards	sum_of_rewards_norm	critic_value	mu
0	0	0.18056777	0.56122655	15.180567771196365	15.561226546764374	-0.0002424055965993821	0.8428918367374261	-0.0002424055965993821	0.8428918367374261	0.8428918367374261	0.05168976	[ 0.10296026 -0.3033229 ]
0	1	0.16062693	-0.34482816	15.341194704174995	15.216398388147354	-0.0017861691192480045	0.8411056676181781	-0.0017861691192480045	1.6839975043556041	0.8419987521778021	0.0486572	[ 0.10497192 -0.30154166]
0	2	-0.10392207	0.18820748	15.237272635102272	15.404605865478516	0.0009740489215037673	0.8420797165396818	0.0009740489215037673	2.526077220895286	0.8420257402984287	0.05131709	[ 0.10357742 -0.30249572]
0	3	-0.17475025	-1.0495694	15.062522381544113	14.355036497116089	0.0014341911867621349	0.843513907726444	0.0014341911867621349	3.36959112862173	0.8423977821554325	0.05003999	[ 0.10419612 -0.302039  ]
0	4	-0.4026478	-0.31865856	14.659874588251114	14.036377936601639	0.0032217819021080896	0.8467356896285521	0.0032217819021080896	4.216326818250282	0.8432653636500564	0.049775124	[ 0.10464072 -0.30334002]
0	5	0.6932472	-0.43204167	15.353121787309647	13.604336261749268	-0.004060981333701585	0.8426747082948505	-0.004060981333701585	5.059001526545133	0.8431669210908556	0.04521188	[ 0.10766453 -0.30250528]
0	6	-0.5801005	-0.19130814	14.773021310567856	13.413028120994568	0.0033002945377423876	0.8459750028325929	0.0033002945377423876	5.904976529377726	0.8435680756253895	0.044144534	[ 0.10965241 -0.30133882]
0	7	0.42375916	0.25733212	15.19678047299385	13.67036023736	-0.00220289966467746	0.8437721031679154	-0.00220289966467746	6.748748632545642	0.8435935790682052	0.04183255	[ 0.11090481 -0.30142245]
0	8	0.4369098	-0.48368865	15.633690267801285	13.18667158484459	-0.004083938048089597	0.8396881651198258	-0.004083938048089597	7.588436797665468	0.843159644185052	0.044581354	[ 0.10899277 -0.3018635 ]
0	9	0.5076356	0.3589834	16.14132586121559	13.545654982328415	-0.003814287987597975	0.8358738771322278	-0.003814287987597975	8.424310674797695	0.8424310674797695	0.041178256	[ 0.11298747 -0.29916042]
