timestep_reward_type: gamma_global
timestep_factor: 1
episode_reward_type: gamma_global
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.001
num_episodes: 1500
num_timesteps: 15
model_reload: no

episode	episode_reward	reward_last_timestep	gamma_global_last_timestep	loss	actor_loss	critic_loss	entropy
0	0.8132901424809507	0.8132901	0.8132901424809507	16.070776	-0.0	16.065287	0.005488817
1	0.8318386684986595	0.83183867	0.8318386684986595	11.91736	-0.0	11.911872	0.005488817
2	0.8319209245563424	0.8319209	0.8319209245563424	10.862573	-0.0	10.857084	0.005488817
3	0.8333831323141059	0.83338314	0.8333831323141059	14.724848	-0.0	14.719359	0.005488817
4	0.8160357536576867	0.81603575	0.8160357536576867	11.40225	-0.0	11.396762	0.005488817
5	0.8114716982228041	0.8114717	0.8114716982228041	14.98733	-0.0	14.981842	0.005488817
6	0.8008624316471936	0.80086243	0.8008624316471936	15.659373	-3.5728758e-09	15.653885	0.005488817
7	0.7907693039057808	0.7907693	0.7907693039057808	4.598396	-0.0	4.592907	0.005488817
8	0.7989893627949918	0.79898936	0.7989893627949918	16.083431	-1.05e-42	16.077942	0.005488817
9	0.8054306874893146	0.8054307	0.8054306874893146	15.514461	-0.0	15.508972	0.005488817
10	0.8131886417472143	0.8131886	0.8131886417472143	14.384016	-0.0	14.378528	0.005488817
11	0.8237460718526255	0.8237461	0.8237460718526255	18.47252	-0.0	18.467031	0.005488817
12	0.8412244411700793	0.84122443	0.8412244411700793	8.483261	-0.0	8.477773	0.005488817
13	0.8552584434244096	0.85525846	0.8552584434244096	12.2814865	-9.928641e-15	12.275998	0.005488817
14	0.8595172784269489	0.8595173	0.8595172784269489	9.373664	-0.0	9.3681755	0.005488817
15	0.8671106532163825	0.86711067	0.8671106532163825	5.005228	-0.0	4.999739	0.005488817
16	0.879474725382418	0.8794747	0.879474725382418	14.491292	-0.0	14.485804	0.005488817
17	0.8736807216486873	0.8736807	0.8736807216486873	8.624468	-0.0	8.618979	0.005488817
18	0.8577533704817308	0.8577534	0.8577533704817308	11.523845	-0.0	11.518356	0.005488817
19	0.8452882077019505	0.8452882	0.8452882077019505	10.131713	-0.0	10.1262245	0.005488817
20	0.8441032995063774	0.8441033	0.8441032995063774	9.6056385	-0.0	9.60015	0.005488817
21	0.8369742500042849	0.83697426	0.8369742500042849	9.994963	-0.0	9.989474	0.005488817
22	0.8400721580122021	0.84007215	0.8400721580122021	9.679942	-0.0	9.674454	0.005488817
23	0.8264090185318635	0.82640904	0.8264090185318635	10.827139	-0.0	10.8216505	0.005488817
24	0.8227779188222571	0.8227779	0.8227779188222571	10.145887	-1.883e-42	10.140399	0.005488817
25	0.8248005679677253	0.82480055	0.8248005679677253	11.44854	-0.0	11.443051	0.005488817
26	0.8236418788888852	0.8236419	0.8236418788888852	2.5137408	-0.0	2.508252	0.005488817
27	0.8206533913818952	0.8206534	0.8206533913818952	6.6436543	-0.0	6.6381655	0.005488817
28	0.8094234106367033	0.8094234	0.8094234106367033	8.92776	-0.0	8.922272	0.005488817
29	0.8076854452187482	0.80768543	0.8076854452187482	4.39826	-0.0	4.3927712	0.005488817
30	0.8157793112050948	0.8157793	0.8157793112050948	5.9338074	-2.1852326	8.113551	0.005488817
31	0.8170922618550205	0.81709224	0.8170922618550205	4.6729846	-0.0	4.6674957	0.005488817
32	0.7907423678896913	0.7907424	0.7907423678896913	3.0757332	-0.18978457	3.2600288	0.005488817
33	0.7837784886466866	0.7837785	0.7837784886466866	5.881411	-0.0	5.875922	0.005488817
34	0.7882904047482082	0.7882904	0.7882904047482082	4.0336266	-0.0	4.0281377	0.005488817
35	0.7942802025647967	0.79428023	0.7942802025647967	2.0856228	-1.3682579	3.4483917	0.005488817
36	0.7967534937743985	0.79675347	0.7967534937743985	2.4963067	-0.0	2.4908178	0.005488817
37	0.8059064997540907	0.8059065	0.8059064997540907	2.7401907	-0.0	2.7347019	0.005488817
38	0.7986351708847335	0.7986352	0.7986351708847335	-0.0187211	-1.0165647	0.9923548	0.005488817
39	0.803401015239342	0.803401	0.803401015239342	4.384799	-9.128764e-23	4.37931	0.005488817
40	0.8028422690623414	0.80284226	0.8028422690623414	1.7086357	-1.3281973e-09	1.7031468	0.005488817
41	0.7992351331283509	0.7992351	0.7992351331283509	0.6299878	-1e-44	0.62449896	0.005488817
42	0.8031740905315884	0.8031741	0.8031740905315884	3.0692594	-0.16525602	3.2290266	0.005488817
43	0.8040566911134237	0.8040567	0.8040566911134237	0.4742946	-3.8563925e-18	0.4688058	0.005488817
44	0.8075847805397622	0.80758476	0.8075847805397622	1.0658679	-0.0	1.060379	0.005488817
45	0.8063586375181732	0.80635864	0.8063586375181732	1.9241477	-0.0	1.9186589	0.005488817
46	0.7912892597181341	0.79128927	0.7912892597181341	0.23080426	-1.0602536	1.2855691	0.005488817
47	0.7899122042613131	0.7899122	0.7899122042613131	1.1360185	-0.11748588	1.2480155	0.005488817
48	0.7900385233561882	0.7900385	0.7900385233561882	0.5690349	-2.3214726e-07	0.5635463	0.005488817
49	0.7903216241119846	0.79032165	0.7903216241119846	1.1796268	-0.0	1.174138	0.005488817
50	0.7885311426666805	0.7885311	0.7885311426666805	-0.28490666	-0.5195601	0.22916463	0.005488817
51	0.7887206700817733	0.78872067	0.7887206700817733	0.11256864	-4.293408e-24	0.10707982	0.005488817
52	0.7918103570499587	0.79181033	0.7918103570499587	-0.082674734	-0.5739669	0.48580337	0.005488817
53	0.7931900181964087	0.79319	0.7931900181964087	-0.018196639	-0.8372931	0.81360763	0.005488817
54	0.7937717530597762	0.79377174	0.7937717530597762	0.9051646	-2.2885686e-06	0.89967805	0.005488817
55	0.7982911774974383	0.7982912	0.7982911774974383	0.079308875	-0.6974263	0.7712464	0.005488817
56	0.796956912276773	0.7969569	0.796956912276773	-0.046885815	-0.49868307	0.44630843	0.005488817
57	0.7949506127724251	0.7949506	0.7949506127724251	-0.33539262	-0.4084011	0.06751967	0.005488817
58	0.7944070939110378	0.79440707	0.7944070939110378	-0.13017032	-0.54340345	0.40774432	0.005488817
59	0.7949532000606839	0.7949532	0.7949532000606839	0.15385917	-0.114086844	0.2624572	0.005488817
60	0.7972808725194493	0.79728085	0.7972808725194493	-0.007551666	-0.38338128	0.3703408	0.005488817
61	0.7966363713405848	0.79663634	0.7966363713405848	0.5841724	-2.1231333e-14	0.5786836	0.005488817
62	0.7912844044497986	0.7912844	0.7912844044497986	0.29830676	-0.014707665	0.3075256	0.005488817
63	0.7910534691957007	0.7910535	0.7910534691957007	0.18957962	-3.288331e-27	0.18409081	0.005488817
64	0.7941974309232249	0.79419744	0.7941974309232249	-0.113102086	-0.17687595	0.058285046	0.005488817
65	0.7950941317942412	0.79509413	0.7950941317942412	-0.035658527	-0.121070914	0.07992357	0.005488817
66	0.7968379150113714	0.7968379	0.7968379150113714	0.12533619	-0.00856689	0.12841426	0.005488817
67	0.7970411377372295	0.7970411	0.7970411377372295	-0.09234389	-0.45404026	0.35620755	0.005488817
68	0.8008194613837178	0.80081946	0.8008194613837178	0.12844278	-0.03457186	0.15752582	0.005488817
69	0.8010143295609634	0.8010143	0.8010143295609634	-0.15577719	-0.33265597	0.17138997	0.005488817
70	0.800662888646477	0.8006629	0.800662888646477	0.04837277	-0.005116905	0.04800086	0.005488817
71	0.8024727805513258	0.8024728	0.8024727805513258	-0.18818977	-0.34494895	0.15127036	0.005488817
72	0.8021302159290618	0.8021302	0.8021302159290618	-0.26742578	-0.34173116	0.068816565	0.005488817
73	0.805534160684546	0.8055342	0.805534160684546	0.2545906	-0.011275991	0.26037776	0.005488817
74	0.8044268085077839	0.8044268	0.8044268085077839	-0.063137405	-0.11257972	0.04395349	0.005488817
75	0.804619202442738	0.8046192	0.804619202442738	-0.08848434	-0.23452024	0.14054708	0.005488817
76	0.8046634369953697	0.8046634	0.8046634369953697	-0.19892433	-0.3629057	0.15849257	0.005488817
77	0.8028260661789032	0.80282605	0.8028260661789032	-0.101321585	-0.16610153	0.059291124	0.005488817
78	0.8030383457854517	0.80303836	0.8030383457854517	-0.16687123	-0.25669348	0.084333435	0.005488817
79	0.8044543784610253	0.8044544	0.8044543784610253	-0.2326315	-0.3128258	0.074705474	0.005488817
80	0.8046447673509302	0.80464476	0.8046447673509302	0.1008384	0.004872871	0.09047671	0.005488817
81	0.8031380891238793	0.8031381	0.8031380891238793	-0.1637679	-0.25360727	0.084350556	0.005488817
82	0.8047872022736089	0.8047872	0.8047872022736089	-0.24480101	-0.28462514	0.034335323	0.005488817
83	0.8050097967789257	0.8050098	0.8050097967789257	-0.0074475924	-0.042880755	0.029944345	0.005488817
84	0.8045901431961522	0.80459017	0.8045901431961522	0.06359451	0.011272972	0.04683272	0.005488817
85	0.8037416973201243	0.8037417	0.8037416973201243	-0.05887444	-0.078169815	0.013806556	0.005488817
86	0.8015939012565482	0.8015939	0.8015939012565482	0.037294254	-0.0043657334	0.03617117	0.005488817
87	0.8022675620916352	0.80226755	0.8022675620916352	-0.05839126	-0.11615761	0.052277535	0.005488817
88	0.8030064313336691	0.8030064	0.8030064313336691	-0.10735711	-0.15665771	0.04381178	0.005488817
89	0.8033060880451728	0.8033061	0.8033060880451728	-0.036221523	-0.06331837	0.02160803	0.005488817
90	0.8028047946169651	0.80280477	0.8028047946169651	-0.06244227	-0.07330875	0.0053776684	0.005488817
91	0.8027734928639515	0.8027735	0.8027734928639515	-0.07942226	-0.12593912	0.04102804	0.005488817
92	0.8028898788399967	0.8028899	0.8028898788399967	-0.20497324	-0.29904673	0.08858468	0.005488817
93	0.8030980353475833	0.803098	0.8030980353475833	0.04988005	0.028436212	0.015955022	0.005488817
94	0.805028883988626	0.80502886	0.805028883988626	0.048161987	0.018011073	0.024662098	0.005488817
95	0.8059139670806765	0.805914	0.8059139670806765	-0.015806641	-0.037827175	0.016531717	0.005488817
96	0.8061932520319772	0.80619323	0.8061932520319772	-0.026007757	-0.05419741	0.022700835	0.005488817
97	0.8058488037648719	0.8058488	0.8058488037648719	0.09801233	0.024595948	0.06792756	0.005488817
98	0.8022949890613059	0.80229497	0.8022949890613059	0.094666995	0.05756521	0.031612962	0.005488817
99	0.8022018639982064	0.80220187	0.8022018639982064	0.045948207	0.016771859	0.023687532	0.005488817
100	0.8021120814870437	0.8021121	0.8021120814870437	0.06499897	0.042026978	0.01748317	0.005488817
101	0.8021541101036781	0.8021541	0.8021541101036781	0.0033390862	-0.027951932	0.0258022	0.005488817
102	0.8022943116733159	0.8022943	0.8022943116733159	0.033093523	0.022057444	0.005547261	0.005488817
103	0.8024736141892792	0.8024736	0.8024736141892792	-0.17668	-0.23002838	0.04785956	0.005488817
104	0.8024528949677934	0.8024529	0.8024528949677934	-0.20015444	-0.26229402	0.05665077	0.005488817
105	0.8026481577464778	0.8026482	0.8026481577464778	0.06582292	0.02624156	0.034092546	0.005488817
106	0.8014952374640794	0.80149525	0.8014952374640794	-0.014879458	-0.08030876	0.059940483	0.005488817
107	0.8013912937496048	0.8013913	0.8013912937496048	0.045599636	0.025477743	0.014633074	0.005488817
108	0.8016844138768472	0.80168444	0.8016844138768472	0.14468142	0.1076705	0.031522103	0.005488817
109	0.801820349058103	0.80182034	0.801820349058103	0.09093451	0.072293974	0.013151715	0.005488817
110	0.8036616644804945	0.80366164	0.8036616644804945	-0.107681125	-0.14309965	0.029929703	0.005488817
111	0.8035415639688417	0.80354154	0.8035415639688417	-0.03350602	-0.091251925	0.052257087	0.005488817
112	0.8034156865964005	0.8034157	0.8034156865964005	-0.010554317	-0.045710888	0.029667754	0.005488817
113	0.8051273783385675	0.8051274	0.8051273783385675	-0.1400054	-0.18442209	0.038927887	0.005488817
114	0.8051046389908695	0.8051046	0.8051046389908695	0.0180411	-0.001430516	0.0139828	0.005488817
115	0.8045593627005106	0.80455935	0.8045593627005106	0.07615453	0.06221516	0.008450552	0.005488817
116	0.805960240891142	0.80596024	0.805960240891142	-0.09647442	-0.11240349	0.010440252	0.005488817
117	0.8060061346705083	0.80600613	0.8060061346705083	0.054382063	0.032671742	0.016221505	0.005488817
118	0.8061063035201115	0.8061063	0.8061063035201115	0.019763114	0.0061145932	0.008159704	0.005488817
119	0.8059322189975645	0.8059322	0.8059322189975645	-0.13495485	-0.16608374	0.025640065	0.005488817
120	0.8061388960803553	0.8061389	0.8061388960803553	-0.015918871	-0.045022257	0.023614569	0.005488817
121	0.8060684640765525	0.8060685	0.8060684640765525	0.024078697	-0.008665743	0.027255623	0.005488817
122	0.8059815854151975	0.8059816	0.8059815854151975	-0.031298455	-0.050978035	0.014190763	0.005488817
123	0.8062169762461407	0.80621696	0.8062169762461407	-0.016433008	-0.05308792	0.031166095	0.005488817
124	0.8065149906283284	0.806515	0.8065149906283284	-0.04258162	-0.08434653	0.036276095	0.005488817
125	0.805991840184425	0.8059918	0.805991840184425	0.071897775	0.026859744	0.039549213	0.005488817
126	0.8058189409357025	0.8058189	0.8058189409357025	-0.0497135	-0.078893065	0.023690749	0.005488817
127	0.8056441492354014	0.80564415	0.8056441492354014	0.04894732	0.035924494	0.0075340085	0.005488817
128	0.8059857117506757	0.8059857	0.8059857117506757	0.03123871	0.011188115	0.014561779	0.005488817
129	0.8063123723811553	0.8063124	0.8063123723811553	0.025433144	0.008168319	0.011776008	0.005488817
130	0.8066792323564759	0.80667925	0.8066792323564759	0.08902962	0.0774635	0.0060772942	0.005488817
131	0.8067286613916793	0.80672866	0.8067286613916793	-0.116924234	-0.15787138	0.035458326	0.005488817
132	0.8064207820222701	0.8064208	0.8064207820222701	-0.023167875	-0.04279125	0.014134559	0.005488817
133	0.8062548508010616	0.80625486	0.8062548508010616	-0.12625971	-0.15095267	0.01920414	0.005488817
134	0.8059848760263031	0.80598485	0.8059848760263031	0.034446776	-0.0018162177	0.030774176	0.005488817
